Running on GPU
Iter:   1, Energy:  -35.08142, Int:  -35.50399, Ext:   -0.42257, Loss_change:   35.08141
Iter:  76, Energy:  -37.06027, Int:  -37.38496, Ext:   -0.32469, Loss_change:    0.03660
Iter:  77, Energy:  -37.09572, Int:  -37.42375, Ext:   -0.32803, Loss_change:    0.03545
Iter:  78, Energy:  -37.14029, Int:  -37.46912, Ext:   -0.32883, Loss_change:    0.04457
Iter:  79, Energy:  -37.17044, Int:  -37.48800, Ext:   -0.31755, Loss_change:    0.03015
Iter:  80, Energy:  -37.19486, Int:  -37.51480, Ext:   -0.31993, Loss_change:    0.02442
Iter:  81, Energy:  -37.21564, Int:  -37.54056, Ext:   -0.32493, Loss_change:    0.02077
Iter:  82, Energy:  -37.24193, Int:  -37.56629, Ext:   -0.32436, Loss_change:    0.02629
Iter:  83, Energy:  -37.27129, Int:  -37.58382, Ext:   -0.31252, Loss_change:    0.02936
Iter:  84, Energy:  -37.30140, Int:  -37.60273, Ext:   -0.30133, Loss_change:    0.03011
Iter:  85, Energy:  -37.32689, Int:  -37.63106, Ext:   -0.30417, Loss_change:    0.02549
Iter:  86, Energy:  -37.35625, Int:  -37.66221, Ext:   -0.30595, Loss_change:    0.02937
Iter:  87, Energy:  -37.39299, Int:  -37.68561, Ext:   -0.29262, Loss_change:    0.03674
Iter:  88, Energy:  -37.42462, Int:  -37.72454, Ext:   -0.29992, Loss_change:    0.03163
Iter:  89, Energy:  -37.45403, Int:  -37.75505, Ext:   -0.30102, Loss_change:    0.02941
Iter:  90, Energy:  -37.48667, Int:  -37.78682, Ext:   -0.30015, Loss_change:    0.03264
Iter:  91, Energy:  -37.51683, Int:  -37.81644, Ext:   -0.29961, Loss_change:    0.03016
Iter:  92, Energy:  -37.55701, Int:  -37.86409, Ext:   -0.30708, Loss_change:    0.04018
Iter:  93, Energy:  -37.60122, Int:  -37.89704, Ext:   -0.29582, Loss_change:    0.04420
Iter:  94, Energy:  -37.64452, Int:  -37.93197, Ext:   -0.28745, Loss_change:    0.04330
Iter:  95, Energy:  -37.69147, Int:  -37.97762, Ext:   -0.28615, Loss_change:    0.04695
Iter:  96, Energy:  -37.72789, Int:  -38.02339, Ext:   -0.29550, Loss_change:    0.03641
Iter:  97, Energy:  -37.77542, Int:  -38.05102, Ext:   -0.27561, Loss_change:    0.04753
Iter:  98, Energy:  -37.81047, Int:  -38.07879, Ext:   -0.26832, Loss_change:    0.03505
Iter:  99, Energy:  -37.83360, Int:  -38.09967, Ext:   -0.26606, Loss_change:    0.02313
Iter: 100, Energy:  -37.85425, Int:  -38.11978, Ext:   -0.26552, Loss_change:    0.02065
Iter: 101, Energy:  -37.87349, Int:  -38.13521, Ext:   -0.26172, Loss_change:    0.01923
Iter: 102, Energy:  -37.89434, Int:  -38.14153, Ext:   -0.24719, Loss_change:    0.02086
Iter: 103, Energy:  -37.90499, Int:  -38.14994, Ext:   -0.24495, Loss_change:    0.01065
Iter: 104, Energy:  -37.91338, Int:  -38.15743, Ext:   -0.24405, Loss_change:    0.00839
Iter: 105, Energy:  -37.92216, Int:  -38.16306, Ext:   -0.24090, Loss_change:    0.00878
Iter: 106, Energy:  -37.93035, Int:  -38.16800, Ext:   -0.23765, Loss_change:    0.00818
Iter: 107, Energy:  -37.93642, Int:  -38.17446, Ext:   -0.23805, Loss_change:    0.00607
Iter: 108, Energy:  -37.95122, Int:  -38.18345, Ext:   -0.23223, Loss_change:    0.01481
Iter: 109, Energy:  -37.96454, Int:  -38.19429, Ext:   -0.22975, Loss_change:    0.01332
Iter: 110, Energy:  -37.97282, Int:  -38.19191, Ext:   -0.21910, Loss_change:    0.00827
Iter: 111, Energy:  -37.98082, Int:  -38.19942, Ext:   -0.21860, Loss_change:    0.00800
Iter: 112, Energy:  -37.98707, Int:  -38.20271, Ext:   -0.21565, Loss_change:    0.00625
Iter: 113, Energy:  -37.99406, Int:  -38.20561, Ext:   -0.21155, Loss_change:    0.00700
Iter: 114, Energy:  -37.99827, Int:  -38.20554, Ext:   -0.20727, Loss_change:    0.00421
Iter: 115, Energy:  -38.00398, Int:  -38.20927, Ext:   -0.20529, Loss_change:    0.00571
Iter: 116, Energy:  -38.00964, Int:  -38.21684, Ext:   -0.20719, Loss_change:    0.00566
Iter: 117, Energy:  -38.01628, Int:  -38.21592, Ext:   -0.19964, Loss_change:    0.00663
Iter: 118, Energy:  -38.02605, Int:  -38.22225, Ext:   -0.19621, Loss_change:    0.00977
Iter: 119, Energy:  -38.03097, Int:  -38.22726, Ext:   -0.19629, Loss_change:    0.00492
Iter: 120, Energy:  -38.03384, Int:  -38.22701, Ext:   -0.19317, Loss_change:    0.00286
Iter: 121, Energy:  -38.03883, Int:  -38.23500, Ext:   -0.19617, Loss_change:    0.00499
Iter: 122, Energy:  -38.04665, Int:  -38.23675, Ext:   -0.19010, Loss_change:    0.00783
Iter: 123, Energy:  -38.04968, Int:  -38.24034, Ext:   -0.19067, Loss_change:    0.00302
Iter: 124, Energy:  -38.05544, Int:  -38.23955, Ext:   -0.18411, Loss_change:    0.00577
Iter: 125, Energy:  -38.06062, Int:  -38.24754, Ext:   -0.18692, Loss_change:    0.00517
Iter: 126, Energy:  -38.06726, Int:  -38.25113, Ext:   -0.18386, Loss_change:    0.00665
Iter: 127, Energy:  -38.07240, Int:  -38.25433, Ext:   -0.18193, Loss_change:    0.00514
Iter: 128, Energy:  -38.07846, Int:  -38.25735, Ext:   -0.17889, Loss_change:    0.00606
Iter: 129, Energy:  -38.08358, Int:  -38.26119, Ext:   -0.17761, Loss_change:    0.00512
Iter: 130, Energy:  -38.08822, Int:  -38.26302, Ext:   -0.17480, Loss_change:    0.00465
Iter: 131, Energy:  -38.09650, Int:  -38.26275, Ext:   -0.16625, Loss_change:    0.00828
Iter: 132, Energy:  -38.10135, Int:  -38.26173, Ext:   -0.16038, Loss_change:    0.00484
Iter: 133, Energy:  -38.10453, Int:  -38.26152, Ext:   -0.15699, Loss_change:    0.00318
Iter: 134, Energy:  -38.11029, Int:  -38.26264, Ext:   -0.15235, Loss_change:    0.00576
Iter: 135, Energy:  -38.11321, Int:  -38.26413, Ext:   -0.15092, Loss_change:    0.00292
Iter: 136, Energy:  -38.11643, Int:  -38.26764, Ext:   -0.15121, Loss_change:    0.00322
Iter: 137, Energy:  -38.12231, Int:  -38.26782, Ext:   -0.14551, Loss_change:    0.00588
Iter: 138, Energy:  -38.12562, Int:  -38.27022, Ext:   -0.14460, Loss_change:    0.00332
Iter: 139, Energy:  -38.12793, Int:  -38.27060, Ext:   -0.14268, Loss_change:    0.00231
Iter: 140, Energy:  -38.13030, Int:  -38.26895, Ext:   -0.13865, Loss_change:    0.00237
Iter: 141, Energy:  -38.13466, Int:  -38.26780, Ext:   -0.13314, Loss_change:    0.00436
Iter: 142, Energy:  -38.13746, Int:  -38.26898, Ext:   -0.13152, Loss_change:    0.00279
Iter: 143, Energy:  -38.14046, Int:  -38.26642, Ext:   -0.12596, Loss_change:    0.00301
Iter: 144, Energy:  -38.14398, Int:  -38.27222, Ext:   -0.12824, Loss_change:    0.00352
Iter: 145, Energy:  -38.14692, Int:  -38.27300, Ext:   -0.12608, Loss_change:    0.00294
Iter: 146, Energy:  -38.14945, Int:  -38.27724, Ext:   -0.12779, Loss_change:    0.00254
Iter: 147, Energy:  -38.15035, Int:  -38.27497, Ext:   -0.12462, Loss_change:    0.00090
Iter: 148, Energy:  -38.15258, Int:  -38.27493, Ext:   -0.12235, Loss_change:    0.00223
Iter: 149, Energy:  -38.15413, Int:  -38.27625, Ext:   -0.12212, Loss_change:    0.00155
Iter: 150, Energy:  -38.15678, Int:  -38.27462, Ext:   -0.11784, Loss_change:    0.00265
Iter: 151, Energy:  -38.15886, Int:  -38.27625, Ext:   -0.11740, Loss_change:    0.00208
Iter: 152, Energy:  -38.16168, Int:  -38.27962, Ext:   -0.11794, Loss_change:    0.00282
Iter: 153, Energy:  -38.16461, Int:  -38.27812, Ext:   -0.11352, Loss_change:    0.00293
Iter: 154, Energy:  -38.16820, Int:  -38.27781, Ext:   -0.10962, Loss_change:    0.00359
Iter: 155, Energy:  -38.17008, Int:  -38.28235, Ext:   -0.11226, Loss_change:    0.00189
Iter: 156, Energy:  -38.17344, Int:  -38.28100, Ext:   -0.10756, Loss_change:    0.00335
Iter: 157, Energy:  -38.17477, Int:  -38.28024, Ext:   -0.10547, Loss_change:    0.00133
Iter: 158, Energy:  -38.17728, Int:  -38.27926, Ext:   -0.10198, Loss_change:    0.00251
Iter: 159, Energy:  -38.18065, Int:  -38.28223, Ext:   -0.10158, Loss_change:    0.00337
Iter: 160, Energy:  -38.18346, Int:  -38.28107, Ext:   -0.09761, Loss_change:    0.00280
Iter: 161, Energy:  -38.18616, Int:  -38.28269, Ext:   -0.09653, Loss_change:    0.00270
Iter: 162, Energy:  -38.18802, Int:  -38.28146, Ext:   -0.09344, Loss_change:    0.00186
Iter: 163, Energy:  -38.19176, Int:  -38.28426, Ext:   -0.09251, Loss_change:    0.00374
Iter: 164, Energy:  -38.19472, Int:  -38.28728, Ext:   -0.09256, Loss_change:    0.00296
Iter: 165, Energy:  -38.19771, Int:  -38.28878, Ext:   -0.09107, Loss_change:    0.00300
Iter: 166, Energy:  -38.20060, Int:  -38.29037, Ext:   -0.08978, Loss_change:    0.00288
Iter: 167, Energy:  -38.20579, Int:  -38.28978, Ext:   -0.08399, Loss_change:    0.00519
Iter: 168, Energy:  -38.20878, Int:  -38.29000, Ext:   -0.08122, Loss_change:    0.00299
Iter: 169, Energy:  -38.21125, Int:  -38.29118, Ext:   -0.07993, Loss_change:    0.00247
Iter: 170, Energy:  -38.21356, Int:  -38.28943, Ext:   -0.07587, Loss_change:    0.00231
Iter: 171, Energy:  -38.21687, Int:  -38.28796, Ext:   -0.07109, Loss_change:    0.00331
Iter: 172, Energy:  -38.22046, Int:  -38.29298, Ext:   -0.07252, Loss_change:    0.00359
Iter: 173, Energy:  -38.22353, Int:  -38.29267, Ext:   -0.06914, Loss_change:    0.00307
Iter: 174, Energy:  -38.22498, Int:  -38.28942, Ext:   -0.06444, Loss_change:    0.00145
Iter: 175, Energy:  -38.22737, Int:  -38.28766, Ext:   -0.06029, Loss_change:    0.00239
Iter: 176, Energy:  -38.23071, Int:  -38.29348, Ext:   -0.06277, Loss_change:    0.00334
Iter: 177, Energy:  -38.23358, Int:  -38.29556, Ext:   -0.06198, Loss_change:    0.00287
Iter: 178, Energy:  -38.23656, Int:  -38.29946, Ext:   -0.06290, Loss_change:    0.00298
Iter: 179, Energy:  -38.23762, Int:  -38.30058, Ext:   -0.06296, Loss_change:    0.00107
Iter: 180, Energy:  -38.23905, Int:  -38.29963, Ext:   -0.06058, Loss_change:    0.00143
Iter: 181, Energy:  -38.24016, Int:  -38.30018, Ext:   -0.06001, Loss_change:    0.00111
Iter: 182, Energy:  -38.24158, Int:  -38.30023, Ext:   -0.05865, Loss_change:    0.00142
Iter: 183, Energy:  -38.24231, Int:  -38.30033, Ext:   -0.05802, Loss_change:    0.00073
Iter: 184, Energy:  -38.24449, Int:  -38.30196, Ext:   -0.05746, Loss_change:    0.00218
Iter: 185, Energy:  -38.24593, Int:  -38.30661, Ext:   -0.06068, Loss_change:    0.00144
Iter: 186, Energy:  -38.24764, Int:  -38.30395, Ext:   -0.05631, Loss_change:    0.00171
Iter: 187, Energy:  -38.25075, Int:  -38.30243, Ext:   -0.05168, Loss_change:    0.00310
Iter: 188, Energy:  -38.25277, Int:  -38.30413, Ext:   -0.05136, Loss_change:    0.00203
Iter: 189, Energy:  -38.25387, Int:  -38.30268, Ext:   -0.04881, Loss_change:    0.00109
Iter: 190, Energy:  -38.25503, Int:  -38.30363, Ext:   -0.04859, Loss_change:    0.00117
Iter: 191, Energy:  -38.25661, Int:  -38.30429, Ext:   -0.04768, Loss_change:    0.00157
Iter: 192, Energy:  -38.25780, Int:  -38.30579, Ext:   -0.04799, Loss_change:    0.00119
Iter: 193, Energy:  -38.25895, Int:  -38.30628, Ext:   -0.04733, Loss_change:    0.00115
Iter: 194, Energy:  -38.25952, Int:  -38.30518, Ext:   -0.04566, Loss_change:    0.00057
Iter: 195, Energy:  -38.26108, Int:  -38.30594, Ext:   -0.04486, Loss_change:    0.00156
Iter: 196, Energy:  -38.26355, Int:  -38.30547, Ext:   -0.04193, Loss_change:    0.00247
Iter: 197, Energy:  -38.26609, Int:  -38.30404, Ext:   -0.03795, Loss_change:    0.00255
Iter: 198, Energy:  -38.26734, Int:  -38.30391, Ext:   -0.03658, Loss_change:    0.00124
Iter: 199, Energy:  -38.26844, Int:  -38.30615, Ext:   -0.03771, Loss_change:    0.00110
Iter: 200, Energy:  -38.26934, Int:  -38.30712, Ext:   -0.03778, Loss_change:    0.00091
Iter: 201, Energy:  -38.27071, Int:  -38.30583, Ext:   -0.03513, Loss_change:    0.00137
Iter: 202, Energy:  -38.27151, Int:  -38.30901, Ext:   -0.03750, Loss_change:    0.00080
Iter: 203, Energy:  -38.27299, Int:  -38.30886, Ext:   -0.03587, Loss_change:    0.00149
Iter: 204, Energy:  -38.27438, Int:  -38.30708, Ext:   -0.03270, Loss_change:    0.00138
Iter: 205, Energy:  -38.27554, Int:  -38.30811, Ext:   -0.03257, Loss_change:    0.00117
Iter: 206, Energy:  -38.27670, Int:  -38.30751, Ext:   -0.03081, Loss_change:    0.00116
Iter: 207, Energy:  -38.27740, Int:  -38.30778, Ext:   -0.03038, Loss_change:    0.00069
Iter: 208, Energy:  -38.27807, Int:  -38.30895, Ext:   -0.03088, Loss_change:    0.00067
Iter: 209, Energy:  -38.28024, Int:  -38.30664, Ext:   -0.02640, Loss_change:    0.00217
Iter: 210, Energy:  -38.28225, Int:  -38.30488, Ext:   -0.02263, Loss_change:    0.00201
Iter: 211, Energy:  -38.28354, Int:  -38.30495, Ext:   -0.02142, Loss_change:    0.00128
Iter: 212, Energy:  -38.28499, Int:  -38.30277, Ext:   -0.01778, Loss_change:    0.00145
Iter: 213, Energy:  -38.28648, Int:  -38.30057, Ext:   -0.01409, Loss_change:    0.00150
Iter: 214, Energy:  -38.28736, Int:  -38.29996, Ext:   -0.01260, Loss_change:    0.00088
Iter: 215, Energy:  -38.28805, Int:  -38.29902, Ext:   -0.01096, Loss_change:    0.00069
Iter: 216, Energy:  -38.28860, Int:  -38.29999, Ext:   -0.01139, Loss_change:    0.00054
Iter: 217, Energy:  -38.28912, Int:  -38.30145, Ext:   -0.01233, Loss_change:    0.00052
Iter: 218, Energy:  -38.29008, Int:  -38.30173, Ext:   -0.01165, Loss_change:    0.00096
Iter: 219, Energy:  -38.29086, Int:  -38.30002, Ext:   -0.00915, Loss_change:    0.00078
Iter: 220, Energy:  -38.29164, Int:  -38.30069, Ext:   -0.00905, Loss_change:    0.00077
Iter: 221, Energy:  -38.29293, Int:  -38.29955, Ext:   -0.00663, Loss_change:    0.00129
Iter: 222, Energy:  -38.29457, Int:  -38.29515, Ext:   -0.00058, Loss_change:    0.00165
Iter: 223, Energy:  -38.29643, Int:  -38.29318, Ext:    0.00324, Loss_change:    0.00185
Iter: 224, Energy:  -38.29763, Int:  -38.29120, Ext:    0.00643, Loss_change:    0.00120
Iter: 225, Energy:  -38.29855, Int:  -38.29442, Ext:    0.00413, Loss_change:    0.00093
Iter: 226, Energy:  -38.29898, Int:  -38.29572, Ext:    0.00326, Loss_change:    0.00043
Iter: 227, Energy:  -38.29985, Int:  -38.29536, Ext:    0.00449, Loss_change:    0.00087
Iter: 228, Energy:  -38.30047, Int:  -38.29612, Ext:    0.00435, Loss_change:    0.00062
Iter: 229, Energy:  -38.30089, Int:  -38.29642, Ext:    0.00448, Loss_change:    0.00042
Iter: 230, Energy:  -38.30170, Int:  -38.29773, Ext:    0.00397, Loss_change:    0.00080
Iter: 231, Energy:  -38.30290, Int:  -38.29462, Ext:    0.00829, Loss_change:    0.00121
Iter: 232, Energy:  -38.30384, Int:  -38.29464, Ext:    0.00921, Loss_change:    0.00094
Iter: 233, Energy:  -38.30479, Int:  -38.29626, Ext:    0.00853, Loss_change:    0.00094
Iter: 234, Energy:  -38.30575, Int:  -38.29703, Ext:    0.00872, Loss_change:    0.00096
Iter: 235, Energy:  -38.30661, Int:  -38.29772, Ext:    0.00889, Loss_change:    0.00086
Iter: 236, Energy:  -38.30743, Int:  -38.29779, Ext:    0.00963, Loss_change:    0.00082
Iter: 237, Energy:  -38.30879, Int:  -38.29476, Ext:    0.01403, Loss_change:    0.00137
Iter: 238, Energy:  -38.31021, Int:  -38.29642, Ext:    0.01378, Loss_change:    0.00141
Iter: 239, Energy:  -38.31110, Int:  -38.29861, Ext:    0.01249, Loss_change:    0.00089
Iter: 240, Energy:  -38.31194, Int:  -38.29732, Ext:    0.01462, Loss_change:    0.00084
Iter: 241, Energy:  -38.31310, Int:  -38.29826, Ext:    0.01484, Loss_change:    0.00116
Iter: 242, Energy:  -38.31384, Int:  -38.30090, Ext:    0.01294, Loss_change:    0.00074
Iter: 243, Energy:  -38.31438, Int:  -38.29988, Ext:    0.01450, Loss_change:    0.00054
Iter: 244, Energy:  -38.31545, Int:  -38.29931, Ext:    0.01615, Loss_change:    0.00107
Iter: 245, Energy:  -38.31734, Int:  -38.29671, Ext:    0.02063, Loss_change:    0.00188
Iter: 246, Energy:  -38.31889, Int:  -38.29791, Ext:    0.02098, Loss_change:    0.00155
Iter: 247, Energy:  -38.32010, Int:  -38.29734, Ext:    0.02276, Loss_change:    0.00121
Iter: 248, Energy:  -38.32100, Int:  -38.29815, Ext:    0.02285, Loss_change:    0.00090
Iter: 249, Energy:  -38.32189, Int:  -38.29883, Ext:    0.02307, Loss_change:    0.00089
Iter: 250, Energy:  -38.32248, Int:  -38.29701, Ext:    0.02547, Loss_change:    0.00059
Iter: 251, Energy:  -38.32331, Int:  -38.29777, Ext:    0.02554, Loss_change:    0.00082
Iter: 252, Energy:  -38.32372, Int:  -38.29651, Ext:    0.02721, Loss_change:    0.00041
Iter: 253, Energy:  -38.32435, Int:  -38.29621, Ext:    0.02814, Loss_change:    0.00062
Iter: 254, Energy:  -38.32544, Int:  -38.29609, Ext:    0.02935, Loss_change:    0.00110
Iter: 255, Energy:  -38.32618, Int:  -38.29490, Ext:    0.03128, Loss_change:    0.00073
Iter: 256, Energy:  -38.32715, Int:  -38.29450, Ext:    0.03265, Loss_change:    0.00097
Iter: 257, Energy:  -38.32859, Int:  -38.29551, Ext:    0.03308, Loss_change:    0.00145
Iter: 258, Energy:  -38.32928, Int:  -38.29673, Ext:    0.03255, Loss_change:    0.00069
Iter: 259, Energy:  -38.33010, Int:  -38.29699, Ext:    0.03311, Loss_change:    0.00082
Iter: 260, Energy:  -38.33090, Int:  -38.29603, Ext:    0.03487, Loss_change:    0.00080
Iter: 261, Energy:  -38.33192, Int:  -38.29781, Ext:    0.03411, Loss_change:    0.00102
Iter: 262, Energy:  -38.33296, Int:  -38.29769, Ext:    0.03527, Loss_change:    0.00104
Iter: 263, Energy:  -38.33420, Int:  -38.29837, Ext:    0.03582, Loss_change:    0.00124
Iter: 264, Energy:  -38.33517, Int:  -38.29731, Ext:    0.03786, Loss_change:    0.00097
Iter: 265, Energy:  -38.33582, Int:  -38.29621, Ext:    0.03961, Loss_change:    0.00065
Iter: 266, Energy:  -38.33684, Int:  -38.29711, Ext:    0.03972, Loss_change:    0.00101
Iter: 267, Energy:  -38.33748, Int:  -38.29807, Ext:    0.03941, Loss_change:    0.00064
Iter: 268, Energy:  -38.33814, Int:  -38.30124, Ext:    0.03690, Loss_change:    0.00066
Iter: 269, Energy:  -38.33894, Int:  -38.30254, Ext:    0.03641, Loss_change:    0.00080
Iter: 270, Energy:  -38.33956, Int:  -38.30435, Ext:    0.03521, Loss_change:    0.00062
Iter: 271, Energy:  -38.34013, Int:  -38.30504, Ext:    0.03509, Loss_change:    0.00057
Iter: 272, Energy:  -38.34063, Int:  -38.30366, Ext:    0.03697, Loss_change:    0.00050
Iter: 273, Energy:  -38.34153, Int:  -38.30294, Ext:    0.03860, Loss_change:    0.00090
Iter: 274, Energy:  -38.34285, Int:  -38.29876, Ext:    0.04408, Loss_change:    0.00132
